id,states,year,population
34,NJ,2014,8925001
35,NM,2014,2083024
36,NY,2014,19718515
37,NC,2014,9934399
38,ND,2014,739904
39,OH,2014,11594408
40,OK,2014,3877499
41,OR,2014,3968371
42,PA,2014,12790565
44,RI,2014,1054480
45,SC,2014,4828430
46,SD,2014,852561
47,TN,2014,6544663
48,TX,2014,26944751
49,UT,2014,2941836
50,VT,2014,626984
51,VA,2014,8317372
53,WA,2014,7054196
54,WV,2014,1848514
55,WI,2014,5758377
56,WY,2014,583642
1,AL,2015,4853875
2,AK,2015,737709
4,AZ,2015,6817565
5,AR,2015,2977853
6,CA,2015,38993940
8,CO,2015,5448819
9,CT,2015,3584730
10,DE,2015,944076
11,DC,2015,670377
12,FL,2015,20244914
13,GA,2015,10199398
15,HI,2015,1425157
16,ID,2015,1652828
17,IL,2015,12839047
18,IN,2015,6612768
19,IA,2015,3121997
20,KS,2015,2906721
21,KY,2015,4424611
22,LA,2015,4668960
23,ME,2015,1329453
24,MD,2015,5994983
25,MA,2015,6784240
26,MI,2015,9917715
27,MN,2015,5482435
28,MS,2015,2989390
29,MO,2015,6076204
30,MT,2015,1032073
31,NE,2015,1893765
32,NV,2015,2883758
33,NH,2015,1330111
34,NJ,2015,8935421
35,NM,2015,2080328
36,NY,2015,19747183
37,NC,2015,10035186
38,ND,2015,756835
39,OH,2015,11605090
40,OK,2015,3907414
41,OR,2015,4024634
42,PA,2015,12791904
44,RI,2015,1055607
45,SC,2015,4894834
46,SD,2015,857919
47,TN,2015,6595056
48,TX,2015,27429639
49,UT,2015,2990632
50,VT,2015,626088
51,VA,2015,8367587
53,WA,2015,7160290
54,WV,2015,1841053
55,WI,2015,5767891
56,WY,2015,586555
1,AL,2016,4863300
2,AK,2016,741894
4,AZ,2016,6931071
5,AR,2016,2988248
6,CA,2016,39250017
8,CO,2016,5540545
9,CT,2016,3576452
10,DE,2016,952065
11,DC,2016,681170
12,FL,2016,20612439
13,GA,2016,10310371
15,HI,2016,1428557
16,ID,2016,1683140
17,IL,2016,12801539
18,IN,2016,6633053
19,IA,2016,3134693
20,KS,2016,2907289
21,KY,2016,4436974
22,LA,2016,4681666
23,ME,2016,1331479
24,MD,2016,6016447
25,MA,2016,6811779
26,MI,2016,9928300
27,MN,2016,5519952
28,MS,2016,2988726
29,MO,2016,6093000
30,MT,2016,1042520
31,NE,2016,1907116
32,NV,2016,2940058
33,NH,2016,1334795
34,NJ,2016,8944469
35,NM,2016,2081015
36,NY,2016,19745289
37,NC,2016,10146788
38,ND,2016,757952
39,OH,2016,11614373
40,OK,2016,3923561
41,OR,2016,4093465
42,PA,2016,12784227
44,RI,2016,1056426
45,SC,2016,4961119
46,SD,2016,865454
47,TN,2016,6651194
48,TX,2016,27862596
49,UT,2016,3051217
50,VT,2016,624594
51,VA,2016,8411808
53,WA,2016,7288000
54,WV,2016,1831102
55,WI,2016,5778708
56,WY,2016,585501
